mes;cnae_classe;saldo
1;Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;    52
1;Comércio atacadista de energia elétrica;    18
1;Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;   278
1;Comércio atacadista de ferragens e ferramentas;    88
1;Comércio atacadista de gás liqüefeito de petróleo (GLP);   -39
1;Comércio atacadista de hortifrutigranjeiros;  -193
1;Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, ortopédico e odontológico;   111
1;Comércio atacadista de leite e laticínios;   -15
1;Comércio atacadista de madeira e produtos derivados;   -38
1;"Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças";    -8
1;"Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças";   137
1;"Comércio atacadista de máquinas, aparelhos e equipamentos não especificados anteriormente; partes e peças";   107
1;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças";    36
1;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças";    90
1;"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças";     4
1;Comércio atacadista de material elétrico;    41
1;Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários;    12
1;Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;  -417
1;Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;   -55
1;Comércio atacadista de papel e papelão em bruto e de embalagens;    72
1;Comércio atacadista de produtos alimentícios em geral;   -78
1;Comércio atacadista de produtos do fumo;   -67
1;Comércio atacadista de produtos farmacêuticos para uso humano e veterinário;   210
1;Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos;     5
1;Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção;    77
1;Comércio atacadista de resíduos e sucatas;   182
1;Comércio atacadista de soja;    13
1;Comércio atacadista de tecidos, artefatos de tecidos e de armarinho;     2
1;Comércio atacadista especializado de materiais de construção não especificados anteriormente e de materiais de construção em geral;   102
1;Comércio atacadista especializado de outros produtos intermediários não especificados anteriormente;    66
1;Comércio atacadista especializado em produtos alimentícios não especificados anteriormente;    83
1;Comércio de peças e acessórios para veículos automotores;    79
1;Comércio por atacado e a varejo de motocicletas, peças e acessórios;    69
1;Comércio varejista de artigos de óptica;  -145
1;Comércio varejista de artigos de uso doméstico não especificados anteriormente;   -63
1;Comércio varejista de artigos do vestuário e acessórios; -6908
1;Comércio varejista de artigos médicos e ortopédicos;    30
1;Comércio varejista de artigos recreativos e esportivos; -1119
1;Comércio varejista de artigos usados;     6
1;Comércio varejista de bebidas;  -112
1;Comércio varejista de calçados e artigos de viagem; -2865
1;Comércio varejista de carnes e pescados - açougues e peixarias;  -454
1;Comércio varejista de combustíveis para veículos automotores;  -160
1;Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;  -551
1;Comércio varejista de discos, CDs, DVDs e fitas;    19
1;Comércio varejista de ferragens, madeira e materiais de construção;   683
1;Comércio varejista de gás liqüefeito de petróleo (GLP);   -42
1;Comércio varejista de hortifrutigranjeiros;  -138
1;Comércio varejista de jóias e relógios;  -155
1;Comércio varejista de livros, jornais, revistas e papelaria;   335
1;Comércio varejista de lubrificantes;     4
1;Comércio varejista de material elétrico;   192
1;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados; -6425
1;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;  -294
1;Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios; -1169
1;Comércio varejista de outros produtos novos não especificados anteriormente;    48
1;"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";  -226
1;Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes;  -181
1;Comércio varejista de produtos farmacêuticos para uso humano e veterinário;  -545
1;Comércio varejista de tintas e materiais para pintura;    39
1;Comércio varejista de vidros;    40
1;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;  -382
1;Comércio varejista especializado de equipamentos de telefonia e comunicação;   100
1;Comércio varejista especializado de equipamentos e suprimentos de informática;   167
1;Comércio varejista especializado de instrumentos musicais e acessórios;    -5
1;Comércio varejista especializado de móveis, colchoaria e artigos de iluminação;  -219
1;Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação;   110
1;Comércio varejista especializado de tecidos e artigos de cama, mesa e banho;   -59
1;Concessionárias de rodovias, pontes, túneis e serviços relacionados;    72
1;Condomínios prediais;  -571
1;Confecção de peças do vestuário, exceto roupas íntimas;  1284
1;Confecção de roupas íntimas;   116
1;Confecção de roupas profissionais;   -22
1;Construção de edifícios;  4760
1;Construção de embarcações e estruturas flutuantes;     2
1;Construção de embarcações para esporte e lazer;     0
1;Construção de obras-de-arte especiais;   116
1;Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas;   156
1;Construção de redes de transportes por dutos, exceto para água e esgoto;    -7
1;Construção de rodovias e ferrovias;   176
1;Consultoria em tecnologia da informação;    73
1;Corretores e agentes de seguros, de planos de previdência complementar e de saúde;    85
1;Crédito cooperativo;    29
1;Crédito imobiliário;     0
1;Criação artística;    -8
1;Criação de animais não especificados anteriormente;    79
1;Criação de aves;    10
1;Criação de bovinos;  1828
1;Criação de caprinos e ovinos;    15
1;Criação de outros animais de grande porte;    26
1;Criação de suínos;   208
1;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária;   261
1;Cultivo de cacau;    17
1;Cultivo de café;   935
1;Cultivo de cana-de-açúcar;   853
1;Cultivo de cereais;   840
1;Cultivo de flores e plantas ornamentais;   110
1;Cultivo de frutas de lavoura permanente, exceto laranja e uva;  1926
1;Cultivo de fumo;    -3
1;Cultivo de laranja; -2056
1;Cultivo de oleaginosas de lavoura temporária, exceto soja;   -13
1;Cultivo de plantas de lavoura permanente não especificadas anteriormente;   190
1;Cultivo de plantas de lavoura temporária não especificadas anteriormente;   475
1;Cultivo de soja;  5820
1;Cultivo de uva;   155
1;Curtimento e outras preparações de couro;   191
1;Demolição e preparação de canteiros de obras;    33
1;Descontaminação e outros serviços de gestão de resíduos;     4
1;Desdobramento de madeira;   -27
1;Desenvolvimento de programas de computador sob encomenda;   130
1;Desenvolvimento e licenciamento de programas de computador customizáveis;   242
1;Desenvolvimento e licenciamento de programas de computador não-customizáveis;   249
1;Design e decoração de interiores;     3
1;Distribuição cinematográfica, de vídeo e de programas de televisão;    55
1;Distribuição de energia elétrica;   -84
1;Edição de cadastros, listas e outros produtos gráficos;     1
1;Edição de jornais;   -39
1;Edição de livros;    39
1;Edição de revistas;     0
1;Edição integrada à impressão de cadastros, listas e outros produtos gráficos;   -23
1;Edição integrada à impressão de jornais;    -8
1;Edição integrada à impressão de livros;    90
1;Edição integrada à impressão de revistas;    -4
1;Educação infantil - creche;  1544
1;Educação infantil - pré-escola;  1577
1;Educação profissional de nível técnico;    40
1;Educação profissional de nível tecnológico;     0
1;Educação superior - graduação;  -215
1;Educação superior - graduação e pós-graduação;  -106
1;Educação superior - pós-graduação e extensão;    63
1;Ensino de arte e cultura;    33
1;Ensino de esportes;    11
1;Ensino de idiomas;   169
1;Ensino fundamental;  3684
1;Ensino médio;  1012
1;Envasamento e empacotamento sob contrato;   189
1;Estacionamento de veículos;  -161
1;Extração de carvão mineral;    -1
1;Extração de gemas (pedras preciosas e semipreciosas);    15
1;Extração de minerais metálicos não-ferrosos não especificados anteriormente;    -9
1;Extração de minerais não-metálicos não especificados anteriormente;    -1
1;Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos;    -2
1;Extração de minério de alumínio;     0
1;Extração de minério de metais preciosos;     2
1;Extração de pedra, areia e argila;   -43
1;Extração de petróleo e gás natural;    -1
1;Fabricação de acessórios do vestuário, exceto para segurança e proteção;     9
1;Fabricação de açúcar em bruto;  2790
1;Fabricação de açúcar refinado;    -1
1;Fabricação de adesivos e selantes;    37
1;Fabricação de aditivos de uso industrial;    56
1;Fabricação de adubos e fertilizantes;    -1
1;Fabricação de aeronaves;    51
1;Fabricação de aguardentes e outras bebidas destiladas;   -17
1;Fabricação de águas envasadas;   -39
1;Fabricação de álcool;   794
1;Fabricação de alimentos e pratos prontos;    -8
1;Fabricação de alimentos para animais;    73
1;Fabricação de amidos e féculas de vegetais e de óleos de milho;    25
1;Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo;   -12
1;Fabricação de aparelhos e equipamentos de ar condicionado;    11
1;Fabricação de aparelhos e equipamentos de medida, teste e controle;    69
1;Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica;   200
1;Fabricação de aparelhos e equipamentos para instalações térmicas;    22
1;Fabricação de aparelhos eletrodomésticos não especificados anteriormente;   110
1;Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação;    -1
1;Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação;    17
1;Fabricação de artefatos de borracha não especificados anteriormente;   102
1;Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;   -11
1;Fabricação de artefatos de cordoaria;    17
1;Fabricação de artefatos de couro não especificados anteriormente;    -5
1;Fabricação de artefatos de madeira, palha, cortiça, vime e material trançado não especificados anteriormente, exceto móveis;    34
1;Fabricação de artefatos de material plástico não especificados anteriormente;   954
1;Fabricação de artefatos de tanoaria e de embalagens de madeira;    14
1;Fabricação de artefatos de tapeçaria;    21
1;Fabricação de artefatos para pesca e esporte;    14
1;Fabricação de artefatos têxteis para uso doméstico;   245
1;Fabricação de artigos de cutelaria;     5
1;Fabricação de artigos de metal para uso doméstico e pessoal;    82
1;Fabricação de artigos de serralheria, exceto esquadrias;    88
1;Fabricação de artigos de vidro;    17
1;Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias;    18
1;Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material;     6
1;Fabricação de automóveis, camionetas e utilitários;   508
1;Fabricação de baterias e acumuladores para veículos automotores;    10
1;Fabricação de bicicletas e triciclos não-motorizados;    -4
1;Fabricação de bijuterias e artefatos semelhantes;    73
1;Fabricação de biocombustíveis, exceto álcool;     1
1;Fabricação de biscoitos e bolachas;   -19
1;Fabricação de brinquedos e jogos recreativos;   -93
1;Fabricação de cabines, carrocerias e reboques para veículos automotores;   204
1;Fabricação de cal e gesso;    -3
1;Fabricação de calçados de couro;  1294
1;Fabricação de calçados de materiais não especificados anteriormente;   181
1;Fabricação de calçados de material sintético;   207
1;Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos;    27
1;Fabricação de caminhões e ônibus;    19
1;Fabricação de cartolina e papel-cartão;     1
1;Fabricação de catalisadores;    -3
1;Fabricação de celulose e outras pastas para a fabricação de papel;   149
1;Fabricação de chapas e de embalagens de papelão ondulado;    94
1;Fabricação de cimento;     2
1;Fabricação de cloro e álcalis;    -5
1;Fabricação de colchões;   116
1;Fabricação de componentes eletrônicos;   103
1;Fabricação de compressores;   -12
1;Fabricação de conservas de frutas;    70
1;Fabricação de conservas de legumes e outros vegetais;    10
1;Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal;   195
1;Fabricação de cronômetros e relógios;    -7
1;Fabricação de defensivos agrícolas;    14
1;Fabricação de desinfestantes domissanitários;    11
1;Fabricação de elastômeros;    -1
1;Fabricação de embalagens de cartolina e papel-cartão;    35
1;Fabricação de embalagens de material plástico;   327
1;Fabricação de embalagens de papel;    89
1;Fabricação de embalagens de vidro;    51
1;Fabricação de embalagens metálicas;    93
1;Fabricação de equipamento bélico pesado, armas de fogo e munições;    26
1;Fabricação de equipamentos de informática;   -81
1;Fabricação de equipamentos de transmissão para fins industriais;   126
1;Fabricação de equipamentos de transporte não especificados anteriormente;   -41
1;Fabricação de equipamentos e acessórios para segurança e proteção pessoal e profissional;     0
1;Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente;   186
1;Fabricação de equipamentos e instrumentos ópticos, fotográficos e cinematográficos;     5
1;Fabricação de equipamentos hidráulicos e pneumáticos, exceto válvulas;    41
1;Fabricação de equipamentos para irrigação agrícola;    14
1;Fabricação de equipamentos transmissores de comunicação;    23
1;Fabricação de escovas, pincéis e vassouras;    13
1;Fabricação de especiarias, molhos, temperos e condimentos;     8
1;Fabricação de esquadrias de metal;   235
1;"Fabricação de estruturas de madeira e de artigos de carpintaria para 
construção";     6
1;Fabricação de estruturas metálicas;    78
1;Fabricação de explosivos;   -10
1;Fabricação de farinha de mandioca e derivados;    -4
1;Fabricação de farinha de milho e derivados, exceto óleos de milho;     1
1;Fabricação de ferramentas;   106
1;Fabricação de fibras artificiais e sintéticas;    17
1;Fabricação de fios, cabos e condutores elétricos isolados;   210
1;Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico;   220
1;Fabricação de gases industriais;    11
1;Fabricação de geradores, transformadores e motores elétricos;   123
1;Fabricação de impermeabilizantes, solventes e produtos afins;    19
1;Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos;   280
1;Fabricação de instrumentos musicais;    27
1;Fabricação de intermediários para fertilizantes;    -3
1;Fabricação de intermediários para plastificantes, resinas e fibras;    -2
1;Fabricação de laminados planos e tubulares de material plástico;    -2
1;Fabricação de lâmpadas e outros equipamentos de iluminação;    36
1;Fabricação de laticínios;   -20
1;Fabricação de linhas para costurar e bordar;    42
1;Fabricação de locomotivas, vagões e outros materiais rodantes;    53
1;Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada;    52
1;Fabricação de malte, cervejas e chopes;    72
1;Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial;    23
1;Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente;   276
1;Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação;   236
1;Fabricação de máquinas e equipamentos para a indústria do plástico;    15
1;Fabricação de máquinas e equipamentos para a indústria têxtil;    15
1;Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo;    43
1;Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;   115
1;Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos;     6
1;Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados;     2
1;Fabricação de máquinas e equipamentos para saneamento básico e ambiental;    18
1;Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, exceto tratores;    25
1;Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente;   219
1;Fabricação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta;    -7
1;Fabricação de máquinas-ferramenta;    21
1;Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas;    50
1;Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais;    12
1;Fabricação de massas alimentícias;    41
1;Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias;   145
1;Fabricação de material elétrico para instalações em circuito de consumo;     8
1;Fabricação de medicamentos para uso humano;   392
1;Fabricação de medicamentos para uso veterinário;    35
1;Fabricação de meias;   248
1;Fabricação de mídias virgens, magnéticas e ópticas;     1
1;Fabricação de motocicletas;    -1
1;Fabricação de motores e turbinas, exceto para aviões e veículos rodoviários;    49
1;Fabricação de móveis com predominância de madeira;   507
1;Fabricação de móveis com predominância de metal;    86
1;Fabricação de móveis de outros materiais, exceto madeira e metal;     4
1;Fabricação de obras de caldeiraria pesada;   323
1;Fabricação de óleos vegetais em bruto, exceto óleo de milho;    26
1;Fabricação de óleos vegetais refinados, exceto óleo de milho;   -46
1;Fabricação de outras máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo;    82
1;Fabricação de outros produtos têxteis não especificados anteriormente;    47
1;Fabricação de papel;   -14
1;Fabricação de partes para calçados, de qualquer material;   139
1;Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores;    18
1;Fabricação de peças e acessórios para o sistema de freios de veículos automotores;   157
1;Fabricação de peças e acessórios para o sistema motor de veículos automotores;   122
1;Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores;    15
1;Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;  1208
1;Fabricação de peças e acessórios para veículos ferroviários;    -5
1;Fabricação de periféricos para equipamentos de informática;    55
1;Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores;    -2
1;Fabricação de pneumáticos e de câmaras-de-ar;    35
1;Fabricação de preparações farmacêuticas;     3
1;Fabricação de produtos à base de café;     3
1;Fabricação de produtos alimentícios não especificados anteriormente;   315
1;Fabricação de produtos cerâmicos não-refratários não especificados anteriormente;    65
1;Fabricação de produtos cerâmicos não-refratários para uso estrutural na construção;   197
1;Fabricação de produtos cerâmicos refratários;     0
1;Fabricação de produtos de carne;  -336
1;Fabricação de produtos de limpeza e polimento;    62
1;Fabricação de produtos de metal não especificados anteriormente;   397
1;Fabricação de produtos de minerais não-metálicos não especificados anteriormente;    52
1;Fabricação de produtos de panificação;   128
1;Fabricação de produtos de papel para usos doméstico e higiênico-sanitário;    97
1;Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório;    -3
1;Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente;    12
1;Fabricação de produtos de trefilados de metal;   137
1;Fabricação de produtos derivados do cacau, de chocolates e confeitos;   320
1;Fabricação de produtos derivados do petróleo, exceto produtos do refino;    15
1;Fabricação de produtos diversos não especificados anteriormente;    21
1;Fabricação de produtos do fumo;     7
1;Fabricação de produtos do refino de petróleo;    -8
1;Fabricação de produtos farmoquímicos;     3
1;Fabricação de produtos petroquímicos básicos;    -1
1;Fabricação de produtos químicos inorgânicos não especificados anteriormente;     5
1;Fabricação de produtos químicos não especificados anteriormente;   129
1;Fabricação de produtos químicos orgânicos não especificados anteriormente;    38
1;Fabricação de refrigerantes e de outras bebidas não-alcoólicas;    45
1;Fabricação de resinas termofixas;    14
1;Fabricação de resinas termoplásticas;    19
1;Fabricação de sabões e detergentes sintéticos;     9
1;Fabricação de sorvetes e outros gelados comestíveis;    -9
1;Fabricação de sucos de frutas, hortaliças e legumes;  -746
1;Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central;   -22
1;Fabricação de tecidos de malha;   157
1;Fabricação de tecidos especiais, inclusive artefatos;     9
1;Fabricação de tênis de qualquer material;    22
1;Fabricação de tintas de impressão;    23
1;Fabricação de tintas, vernizes, esmaltes e lacas;    44
1;Fabricação de tratores agrícolas;    18
1;Fabricação de tratores, exceto agrícolas;    15
1;Fabricação de tubos e acessórios de material plástico para uso na construção;    41
1;Fabricação de turbinas, motores e outros componentes e peças para aeronaves;     8
1;Fabricação de válvulas, registros e dispositivos semelhantes;   118
1;Fabricação de vidro plano e de segurança;    79
1;Fabricação de vinho;     8
1;Fiação de fibras artificiais e sintéticas;    77
1;Fornecimento e gestão de recursos humanos para terceiros; -1463
1;Fotocópias, preparação de documentos e outros serviços especializados de apoio administrativo;   408
1;Fundição de ferro e aço;    57
1;Fundição de metais não-ferrosos e suas ligas;    93
1;Geração de energia elétrica;    13
1;Gestão de ativos intangíveis não-financeiros;    75
1;Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas;    12
1;Gestão de instalações de esportes;    37
1;Gestão de portos e terminais;   -32
1;Gestão de redes de esgoto;   -18
1;Gestão e administração da propriedade imobiliária;   132
1;Holdings de instituições financeiras;     3
1;Holdings de instituições não-financeiras;   225
1;Horticultura;   103
1;Hotéis e similares;  -258
1;Impressão de jornais, livros, revistas e outras publicações periódicas;  -131
1;Impressão de materiais para outros usos;    18
1;Impressão de material de segurança;    13
1;Imunização e controle de pragas urbanas;    58
1;Incorporação de empreendimentos imobiliários;   322
1;Instalação de equipamentos não especificados anteriormente;    22
1;Instalação de máquinas e equipamentos industriais;   401
1;Instalações elétricas;   443
1;Instalações hidráulicas, de sistemas de ventilação e refrigeração;   327
1;Intermediação na compra, venda e aluguel de imóveis;   251
1;Justiça;     6
1;Lapidação de gemas e fabricação de artefatos de ourivesaria e joalheria;    20
1;Lavanderias, tinturarias e toalheiros;    10
1;Limpeza em prédios e em domicílios;  -255
1;Locação de automóveis sem condutor;    85
1;Locação de mão-de-obra temporária;    17
1;Locação de meios de transporte, exceto automóveis, sem condutor;    39
1;Manutenção e reparação de aeronaves;     3
1;Manutenção e reparação de embarcações;    -3
1;Manutenção e reparação de equipamentos e produtos não especificados anteriormente;     5
1;Manutenção e reparação de equipamentos eletrônicos e ópticos;    39
1;Manutenção e reparação de máquinas e equipamentos da indústria mecânica;   410
1;Manutenção e reparação de máquinas e equipamentos elétricos;    38
1;Manutenção e reparação de motocicletas;     1
1;Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos;   190
1;Manutenção e reparação de veículos automotores;   179
1;Manutenção e reparação de veículos ferroviários;     6
1;Metalurgia do alumínio e suas ligas;   187
1;Metalurgia do cobre;    17
1;Metalurgia dos metais não-ferrosos e suas ligas não especificados anteriormente;     6
1;Metalurgia dos metais preciosos;    -3
1;Moagem de trigo e fabricação de derivados;   -30
1;Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;    -8
