mes;cnae_classe;regiao_administrativa;saldo
1;Aluguel de objetos do vestuário, jóias e acessórios;Itapeva;    -1
1;Aluguel de objetos do vestuário, jóias e acessórios;Marília;     1
1;Aluguel de objetos do vestuário, jóias e acessórios;Presidente Prudente;    -2
1;Aluguel de objetos do vestuário, jóias e acessórios;Ribeirão Preto;    -4
1;Aluguel de objetos do vestuário, jóias e acessórios;Santos;    -2
1;Aluguel de objetos do vestuário, jóias e acessórios;São José do Rio Preto;     3
1;Aluguel de objetos do vestuário, jóias e acessórios;São José dos Campos;    -1
1;Aluguel de objetos do vestuário, jóias e acessórios;São Paulo;   -10
1;Aluguel de objetos do vestuário, jóias e acessórios;Sorocaba;     0
1;Aluguel de objetos pessoais e domésticos não especificados anteriormente;Araçatuba;     0
1;Aluguel de objetos pessoais e domésticos não especificados anteriormente;Barretos;    -1
1;Aluguel de objetos pessoais e domésticos não especificados anteriormente;Bauru;     2
1;Aluguel de objetos pessoais e domésticos não especificados anteriormente;Campinas;    10
1;Aluguel de objetos pessoais e domésticos não especificados anteriormente;Franca;     1
1;Aluguel de objetos pessoais e domésticos não especificados anteriormente;Marília;     0
1;Aluguel de objetos pessoais e domésticos não especificados anteriormente;Presidente Prudente;     1
1;Aluguel de objetos pessoais e domésticos não especificados anteriormente;Região Administrativa Central;    -2
1;Aluguel de objetos pessoais e domésticos não especificados anteriormente;Ribeirão Preto;    -3
1;Aluguel de objetos pessoais e domésticos não especificados anteriormente;Santos;    -3
1;Aluguel de objetos pessoais e domésticos não especificados anteriormente;São José do Rio Preto;     0
1;Aluguel de objetos pessoais e domésticos não especificados anteriormente;São José dos Campos;    -1
1;Aluguel de objetos pessoais e domésticos não especificados anteriormente;São Paulo;    16
1;Aluguel de objetos pessoais e domésticos não especificados anteriormente;Sorocaba;     1
1;Aparelhamento e outros trabalhos em pedras;Araçatuba;     1
1;Aparelhamento e outros trabalhos em pedras;Barretos;    -1
1;Aparelhamento e outros trabalhos em pedras;Bauru;     5
1;Aparelhamento e outros trabalhos em pedras;Campinas;    -5
1;Aparelhamento e outros trabalhos em pedras;Franca;    -1
1;Aparelhamento e outros trabalhos em pedras;Itapeva;    -2
1;Aparelhamento e outros trabalhos em pedras;Marília;     1
1;Aparelhamento e outros trabalhos em pedras;Presidente Prudente;     0
1;Aparelhamento e outros trabalhos em pedras;Região Administrativa Central;    -3
1;Aparelhamento e outros trabalhos em pedras;Ribeirão Preto;    -5
1;Aparelhamento e outros trabalhos em pedras;Santos;     5
1;Aparelhamento e outros trabalhos em pedras;São José do Rio Preto;     8
1;Aparelhamento e outros trabalhos em pedras;São José dos Campos;     3
1;Aparelhamento e outros trabalhos em pedras;São Paulo;    21
1;Aparelhamento e outros trabalhos em pedras;Sorocaba;     3
1;Aqüicultura em água doce;Araçatuba;     1
1;Aqüicultura em água doce;Bauru;     1
1;Aqüicultura em água doce;Campinas;    -5
1;Aqüicultura em água doce;Presidente Prudente;     3
1;Aqüicultura em água doce;São José do Rio Preto;    12
1;Aqüicultura em água doce;São José dos Campos;    -2
1;Aqüicultura em água doce;São Paulo;    17
1;Aqüicultura em água doce;Sorocaba;    -1
1;Aqüicultura em água salgada e salobra;Ribeirão Preto;    -2
1;Aqüicultura em água salgada e salobra;São Paulo;     1
1;Armazenamento;Barretos;     1
1;Armazenamento;Bauru;    -3
1;Armazenamento;Campinas;   -81
1;Armazenamento;Franca;    -1
1;Armazenamento;Itapeva;     2
1;Armazenamento;Marília;    -3
1;Armazenamento;Presidente Prudente;    -3
1;Armazenamento;Região Administrativa Central;     4
1;Armazenamento;Registro;     3
1;Armazenamento;Ribeirão Preto;   -37
1;Armazenamento;Santos;    24
1;Armazenamento;São José do Rio Preto;     1
1;Armazenamento;São José dos Campos;     4
1;Armazenamento;São Paulo;   165
1;Armazenamento;Sorocaba;    -8
1;Arrendamento mercantil;São Paulo;    -1
1;Artes cênicas, espetáculos e atividades complementares;Araçatuba;     2
1;Artes cênicas, espetáculos e atividades complementares;Barretos;     3
1;Artes cênicas, espetáculos e atividades complementares;Campinas;     8
1;Artes cênicas, espetáculos e atividades complementares;Franca;    -2
1;Artes cênicas, espetáculos e atividades complementares;Marília;    -2
1;Artes cênicas, espetáculos e atividades complementares;Região Administrativa Central;    -1
1;Artes cênicas, espetáculos e atividades complementares;Ribeirão Preto;    -1
1;Artes cênicas, espetáculos e atividades complementares;São José do Rio Preto;    -1
1;Artes cênicas, espetáculos e atividades complementares;São José dos Campos;     9
1;Artes cênicas, espetáculos e atividades complementares;São Paulo;   -35
1;Artes cênicas, espetáculos e atividades complementares;Sorocaba;   -56
1;Atividades associativas não especificadas anteriormente;Araçatuba;     1
1;Atividades associativas não especificadas anteriormente;Barretos;     2
1;Atividades associativas não especificadas anteriormente;Bauru;    25
1;Atividades associativas não especificadas anteriormente;Campinas;    65
1;Atividades associativas não especificadas anteriormente;Franca;    14
1;Atividades associativas não especificadas anteriormente;Itapeva;    -1
1;Atividades associativas não especificadas anteriormente;Marília;     2
1;Atividades associativas não especificadas anteriormente;Presidente Prudente;    -1
1;Atividades associativas não especificadas anteriormente;Região Administrativa Central;    -5
1;Atividades associativas não especificadas anteriormente;Registro;    -1
1;Atividades associativas não especificadas anteriormente;Ribeirão Preto;    15
1;Atividades associativas não especificadas anteriormente;Santos;    71
1;Atividades associativas não especificadas anteriormente;São José do Rio Preto;    29
1;Atividades associativas não especificadas anteriormente;São José dos Campos;   137
1;Atividades associativas não especificadas anteriormente;São Paulo;   146
1;Atividades associativas não especificadas anteriormente;Sorocaba;   -10
1;Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;Bauru;     1
1;Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;Campinas;     1
1;Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;Marília;     1
1;Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;Ribeirão Preto;    -3
1;Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;Santos;    -1
1;Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;São José do Rio Preto;    -4
1;Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;São José dos Campos;     4
1;Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;São Paulo;    -5
1;Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Araçatuba;     1
1;Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Barretos;    -2
1;Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Bauru;   -16
1;Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Campinas;   -19
1;Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Franca;    -2
1;Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Itapeva;    -2
1;Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Marília;    -6
1;Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Presidente Prudente;    -5
1;Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Região Administrativa Central;     2
1;Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Registro;     0
1;Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Ribeirão Preto;  -233
1;Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Santos;    -5
1;Atividades auxiliares dos serviços financeiros não especificadas anteriormente;São José do Rio Preto;   -50
1;Atividades auxiliares dos serviços financeiros não especificadas anteriormente;São José dos Campos;     5
1;Atividades auxiliares dos serviços financeiros não especificadas anteriormente;São Paulo;   163
1;Atividades auxiliares dos serviços financeiros não especificadas anteriormente;Sorocaba;    17
1;Atividades auxiliares dos transportes aéreos;Araçatuba;     0
1;Atividades auxiliares dos transportes aéreos;Campinas;    11
1;Atividades auxiliares dos transportes aéreos;Marília;    -1
1;Atividades auxiliares dos transportes aéreos;Região Administrativa Central;     0
1;Atividades auxiliares dos transportes aéreos;Ribeirão Preto;     1
1;Atividades auxiliares dos transportes aéreos;São José do Rio Preto;    -2
1;Atividades auxiliares dos transportes aéreos;São Paulo;    63
1;Atividades auxiliares dos transportes aéreos;Sorocaba;    -2
1;Atividades auxiliares dos transportes aquaviários não especificadas anteriormente;Bauru;     0
1;Atividades auxiliares dos transportes aquaviários não especificadas anteriormente;Santos;    -4
1;Atividades auxiliares dos transportes aquaviários não especificadas anteriormente;São José dos Campos;    -2
1;Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Araçatuba;     0
1;Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Barretos;    -2
1;Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Bauru;    -1
1;Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Campinas;    -5
1;Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Franca;     0
1;Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Itapeva;     1
1;Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Marília;    -3
1;Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Presidente Prudente;     4
1;Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Região Administrativa Central;    -4
1;Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Registro;     2
1;Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Ribeirão Preto;     9
1;Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Santos;     4
1;Atividades auxiliares dos transportes terrestres não especificadas anteriormente;São José do Rio Preto;    -7
1;Atividades auxiliares dos transportes terrestres não especificadas anteriormente;São José dos Campos;     2
1;Atividades auxiliares dos transportes terrestres não especificadas anteriormente;São Paulo;   -24
1;Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Sorocaba;    -2
1;Atividades de administração de fundos por contrato ou comissão;Campinas;    -2
1;Atividades de administração de fundos por contrato ou comissão;Presidente Prudente;    -1
1;Atividades de administração de fundos por contrato ou comissão;São Paulo;    86
1;Atividades de agenciamento marítimo;Campinas;    -1
1;Atividades de agenciamento marítimo;Santos;    29
1;Atividades de agenciamento marítimo;São José dos Campos;    -1
1;Atividades de agenciamento marítimo;São Paulo;    19
1;Atividades de apoio à agricultura;Araçatuba;   -35
1;Atividades de apoio à agricultura;Barretos; -2232
1;Atividades de apoio à agricultura;Bauru;  -141
1;Atividades de apoio à agricultura;Campinas; -1072
1;Atividades de apoio à agricultura;Franca;    52
1;Atividades de apoio à agricultura;Itapeva;   -63
1;Atividades de apoio à agricultura;Marília;  -739
1;Atividades de apoio à agricultura;Presidente Prudente;     8
1;Atividades de apoio à agricultura;Região Administrativa Central;  -338
1;Atividades de apoio à agricultura;Registro;     0
1;Atividades de apoio à agricultura;Ribeirão Preto;   163
1;Atividades de apoio à agricultura;Santos;    -1
1;Atividades de apoio à agricultura;São José do Rio Preto;    36
1;Atividades de apoio à agricultura;São José dos Campos;    10
1;Atividades de apoio à agricultura;São Paulo;    92
1;Atividades de apoio à agricultura;Sorocaba;   -25
1;Atividades de apoio à educação;Araçatuba;     1
1;Atividades de apoio à educação;Bauru;     2
1;Atividades de apoio à educação;Campinas;    17
1;Atividades de apoio à educação;Itapeva;     2
1;Atividades de apoio à educação;Marília;    -1
1;Atividades de apoio à educação;Presidente Prudente;    -1
1;Atividades de apoio à educação;Região Administrativa Central;    -4
1;Atividades de apoio à educação;Ribeirão Preto;    -2
1;Atividades de apoio à educação;Santos;    -4
1;Atividades de apoio à educação;São José do Rio Preto;    -2
1;Atividades de apoio à educação;São Paulo;    89
1;Atividades de apoio à educação;Sorocaba;    -3
1;Atividades de apoio à extração de minerais, exceto petróleo e gás natural;Campinas;     1
1;Atividades de apoio à extração de minerais, exceto petróleo e gás natural;Itapeva;    -2
1;Atividades de apoio à extração de minerais, exceto petróleo e gás natural;São Paulo;    -2
1;Atividades de apoio à extração de petróleo e gás natural;Região Administrativa Central;     1
1;Atividades de apoio à extração de petróleo e gás natural;Santos;     5
1;Atividades de apoio à gestão de saúde;Araçatuba;     1
1;Atividades de apoio à gestão de saúde;Barretos;     3
1;Atividades de apoio à gestão de saúde;Bauru;     5
1;Atividades de apoio à gestão de saúde;Campinas;    -2
1;Atividades de apoio à gestão de saúde;Marília;    22
1;Atividades de apoio à gestão de saúde;Presidente Prudente;    -2
1;Atividades de apoio à gestão de saúde;Registro;     2
1;Atividades de apoio à gestão de saúde;Ribeirão Preto;     8
1;Atividades de apoio à gestão de saúde;São José do Rio Preto;     1
1;Atividades de apoio à gestão de saúde;São José dos Campos;     2
1;Atividades de apoio à gestão de saúde;São Paulo;   420
1;Atividades de apoio à gestão de saúde;Sorocaba;    -3
1;Atividades de apoio à pecuária;Araçatuba;     1
1;Atividades de apoio à pecuária;Bauru;     2
1;Atividades de apoio à pecuária;Campinas;     9
1;Atividades de apoio à pecuária;Franca;    -2
1;Atividades de apoio à pecuária;Itapeva;    -2
1;Atividades de apoio à pecuária;Marília;     0
1;Atividades de apoio à pecuária;Presidente Prudente;     0
1;Atividades de apoio à pecuária;Região Administrativa Central;    -1
1;Atividades de apoio à pecuária;Santos;     1
1;Atividades de apoio à pecuária;São José do Rio Preto;    -1
1;Atividades de apoio à pecuária;São José dos Campos;    -1
1;Atividades de apoio à pecuária;São Paulo;     1
1;Atividades de apoio à pecuária;Sorocaba;     2
1;Atividades de apoio à produção florestal;Bauru;   -42
1;Atividades de apoio à produção florestal;Campinas;    27
1;Atividades de apoio à produção florestal;Franca;     2
1;Atividades de apoio à produção florestal;Itapeva;     8
1;Atividades de apoio à produção florestal;Marília;     4
1;Atividades de apoio à produção florestal;Presidente Prudente;    -4
1;Atividades de apoio à produção florestal;Região Administrativa Central;     1
1;Atividades de apoio à produção florestal;Registro;     2
1;Atividades de apoio à produção florestal;Ribeirão Preto;     1
1;Atividades de apoio à produção florestal;São José do Rio Preto;     1
1;Atividades de apoio à produção florestal;São José dos Campos;   -10
1;Atividades de apoio à produção florestal;São Paulo;     5
1;Atividades de apoio à produção florestal;Sorocaba;     3
1;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares;Araçatuba;     6
1;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares;Barretos;    -4
1;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares;Bauru;     6
1;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares;Campinas;    42
1;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares;Franca;    18
1;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares;Itapeva;     2
1;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares;Marília;    -1
1;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares;Presidente Prudente;    -1
1;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares;Região Administrativa Central;     1
1;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares;Registro;    -3
1;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares;Ribeirão Preto;    35
1;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares;Santos;    -6
1;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares;São José do Rio Preto;    20
1;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares;São José dos Campos;     0
1;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares;São Paulo;    61
1;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares;Sorocaba;    11
1;Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química;Araçatuba;     3
1;Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química;Bauru;     1
